shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue
0,0,406,0.0,16.24,16.24,0.551241,9.183805,29
1,412,444,16.48,17.76,1.28,0.095446,22.331348,12
2,445,781,17.8,31.24,13.44,0.729741,1.303992,26
3,782,830,31.28,33.2,1.92,0.365135,38.230227,26
4,836,849,33.44,33.96,0.52,0.18225,6.149873,30
5,850,1152,34.0,46.08,12.08,0.643923,1.856116,32
6,1153,1201,46.12,48.04,1.92,0.140446,88.490955,29
7,1202,1234,48.08,49.36,1.28,0.300831,10.412139,12
8,1240,1271,49.6,50.84,1.24,0.207161,3.933093,24
9,1272,1521,50.88,60.84,9.96,0.731146,1.637806,27
10,1522,1542,60.88,61.68,0.8,0.207684,15.653679,8
11,1543,1601,61.72,64.04,2.32,0.549153,38.154438,27
12,1607,1637,64.28,65.48,1.2,0.047391,11.074277,17
13,1638,1804,65.52,72.16,6.64,0.726394,1.732203,27
14,1805,1832,72.2,73.28,1.08,0.138421,64.19318,27
15,1838,1859,73.52,74.36,0.84,0.14583,29.781206,8
16,1860,2065,74.4,82.6,8.2,0.696662,1.889891,29
17,2066,2125,82.64,85.0,2.36,0.047756,16.033566,8
18,2126,2168,85.04,86.72,1.68,0.2997,41.15741,6
19,2169,2209,86.76,88.36,1.6,0.519259,20.122602,6
20,2210,2271,88.4,90.84,2.44,0.069813,37.073196,10
21,2277,2690,91.08,107.6,16.52,0.566971,1.896958,36
22,2691,2734,107.64,109.36,1.72,0.126303,68.891865,36
23,2735,2827,109.4,113.08,3.68,0.121106,60.480557,113
24,2833,2866,113.32,114.64,1.32,0.682874,10.04173,86
25,2867,3123,114.68,124.92,10.24,0.5729,1.151744,36
26,3124,3179,124.96,127.16,2.2,0.137701,83.105597,35
27,3185,3219,127.4,128.76,1.36,0.084699,4.402758,93
28,3220,3545,128.8,141.8,13.0,0.597591,1.228966,34
29,3546,3603,141.84,144.12,2.28,0.18219,87.121229,33
30,3604,3627,144.16,145.08,0.92,0.173873,26.67994,33
31,3633,4280,145.32,171.2,25.88,0.589201,1.363471,35
32,4281,4323,171.24,172.92,1.68,0.193536,22.388827,34
33,4324,4436,172.96,177.44,4.48,0.52842,35.493212,33
34,4442,4577,177.68,183.08,5.4,0.65855,1.302112,31
35,4578,4623,183.12,184.92,1.8,0.115711,61.161489,35
36,4629,4766,185.16,190.64,5.48,0.748049,1.451833,26
37,4767,4854,190.68,194.16,3.48,0.05263,18.082676,9
38,4855,4919,194.2,196.76,2.56,0.302282,18.315751,6
39,4925,4955,197.0,198.2,1.2,0.156252,1.60437,24
40,4956,5406,198.24,216.24,18.0,0.739154,2.993053,27
41,5407,5524,216.28,220.96,4.68,0.07493,17.471527,8
42,5525,5570,221.0,222.8,1.8,0.144559,49.987611,27
43,5571,5612,222.84,224.48,1.64,0.485358,25.909514,10
44,5613,5668,224.52,226.72,2.2,0.228933,25.559324,6
45,5669,5733,226.76,229.32,2.56,0.299447,54.893308,25
46,5734,5789,229.36,231.56,2.2,0.176653,38.911838,10
47,5795,5828,231.8,233.12,1.32,0.139097,30.879036,11
48,5829,6041,233.16,241.64,8.48,0.704042,1.307766,30
49,6042,6124,241.68,244.96,3.28,0.182485,14.868646,29
50,6125,6188,245.0,247.52,2.52,0.689014,34.977978,28
51,6194,6234,247.76,249.36,1.6,0.144897,21.844889,12
52,6235,6449,249.4,257.96,8.56,0.724379,1.540129,29
53,6450,6479,258.0,259.16,1.16,0.496029,62.136322,27
54,6480,6564,259.2,262.56,3.36,0.048428,26.802354,8
55,6570,6780,262.8,271.2,8.4,0.733032,1.149089,28
56,6781,6826,271.24,273.04,1.8,0.225243,19.884356,29
57,6832,6995,273.28,279.8,6.52,0.600624,1.13087,36
58,6996,7063,279.84,282.52,2.68,0.132865,31.870688,108
59,7064,7133,282.56,285.32,2.76,0.301971,48.960696,179
60,7139,7200,285.56,288.0,2.44,0.212592,6.779636,26
61,7201,7875,288.04,315.0,26.96,0.756717,1.815896,27
62,7876,7921,315.04,316.84,1.8,0.155135,32.430239,23
63,7922,7983,316.88,319.32,2.44,0.646519,33.940107,30
64,7989,8056,319.56,322.24,2.68,0.319891,7.038131,31
65,8057,8215,322.28,328.6,6.32,0.644598,2.207471,31
66,8220,8244,328.8,329.76,0.96,0.165303,91.200116,36
67,8245,8300,329.8,332.0,2.2,0.52387,22.677782,93
68,8306,8359,332.24,334.36,2.12,0.434513,30.414708,27
69,8360,8730,334.4,349.2,14.8,0.716021,2.054127,28
70,8731,8761,349.24,350.44,1.2,0.246058,22.777561,26
71,8762,8783,350.48,351.32,0.84,0.342529,53.037458,27
72,8786,8803,351.44,352.12,0.68,0.215841,87.011098,71
73,8824,9076,352.96,363.04,10.08,0.703728,1.370847,29
74,9077,9149,363.08,365.96,2.88,0.229856,39.694268,27
75,9155,9218,366.2,368.72,2.52,0.703561,19.596484,59
76,9219,9397,368.76,375.88,7.12,0.714277,2.483118,29
77,9398,9525,375.92,381.0,5.08,0.491064,28.742814,62
78,9531,9895,381.24,395.8,14.56,0.694043,3.393427,25
79,9896,9950,395.84,398.0,2.16,0.307462,25.972848,27
80,9951,9992,398.04,399.68,1.64,0.328249,32.292795,8
81,9998,10019,399.92,400.76,0.84,0.268997,5.632306,29
82,10020,10208,400.8,408.32,7.52,0.640983,2.322197,27
83,10209,10306,408.36,412.24,3.88,0.152283,18.009834,22
84,10312,10642,412.48,425.68,13.2,0.613285,3.930901,28
85,10643,10804,425.72,432.16,6.44,0.119657,24.742966,115
86,10805,10874,432.2,434.96,2.76,0.401695,41.464463,8
87,10875,10933,435.0,437.32,2.32,0.189395,12.902995,27
88,10934,10993,437.36,439.72,2.36,0.452157,41.775309,11
89,10994,11076,439.76,443.04,3.28,0.322083,14.003824,39
90,11082,11510,443.28,460.4,17.12,0.552737,1.061321,28
91,11511,11607,460.44,464.28,3.84,0.158761,14.631548,27
92,11613,11943,464.52,477.72,13.2,0.667635,1.027885,30
93,11944,12010,477.76,480.4,2.64,0.123154,29.604017,30
94,12016,12268,480.64,490.72,10.08,0.627062,2.182703,36
95,12269,12301,490.76,492.04,1.28,0.269689,33.373128,28
96,12302,12346,492.08,493.84,1.76,0.150649,51.140114,31
97,12347,12409,493.88,496.36,2.48,0.618047,24.55827,15
98,12410,12452,496.4,498.08,1.68,0.486374,21.872018,6
99,12453,12621,498.12,504.84,6.72,0.457411,24.060602,63
100,12626,12786,505.04,511.44,6.4,0.68505,41.17771,26
101,12792,13148,511.68,525.92,14.24,0.609184,1.124679,37
102,13149,13201,525.96,528.04,2.08,0.179554,47.801252,31
103,13207,13465,528.28,538.6,10.32,0.620742,0.927925,35
104,13466,13710,538.64,548.4,9.76,0.203295,45.750499,36
105,13716,13742,548.64,549.68,1.04,0.138901,4.08922,35
106,13743,14100,549.72,564.0,14.28,0.682466,0.974729,33
107,14101,14151,564.04,566.04,2.0,0.125502,35.122445,34
108,14152,14203,566.08,568.12,2.04,0.782021,31.253954,10
109,14204,14253,568.16,570.12,1.96,0.129519,43.91664,28
110,14254,14316,570.16,572.64,2.48,0.667512,29.899144,12
111,14322,14367,572.88,574.68,1.8,0.076556,19.43372,11
112,14368,14647,574.72,585.88,11.16,0.649775,1.59244,34
113,14648,14679,585.92,587.16,1.24,0.224879,16.467594,86
114,14680,14735,587.2,589.4,2.2,0.712501,32.246039,27
115,14741,14808,589.64,592.32,2.68,0.369739,18.444664,34
116,14809,14924,592.36,596.96,4.6,0.668174,2.936833,33
117,14925,14982,597.0,599.28,2.28,0.333553,50.738864,28
118,14988,15037,599.52,601.48,1.96,0.425916,24.397643,80
119,15038,15248,601.52,609.92,8.4,0.666009,1.116938,33
120,15249,15278,609.96,611.12,1.16,0.48762,10.667959,61
121,15279,15333,611.16,613.32,2.16,0.300243,20.88583,86
122,15334,15404,613.36,616.16,2.8,0.395271,23.739834,59
123,15410,15443,616.4,617.72,1.32,0.122359,22.741974,6
124,15444,15654,617.76,626.16,8.4,0.661908,5.326051,33
125,15655,15703,626.2,628.12,1.92,0.223298,23.86281,36
126,15704,15738,628.16,629.52,1.36,0.431494,34.485079,34
127,15744,15835,629.76,633.4,3.64,0.685012,1.025596,31
128,15836,15895,633.44,635.8,2.36,0.094739,40.284803,34
129,15896,16016,635.84,640.64,4.8,0.484817,29.814112,8
130,16017,16081,640.68,643.24,2.56,0.166236,51.431462,28
131,16082,16261,643.28,650.44,7.16,0.060584,27.530688,76
132,16267,16318,650.68,652.72,2.04,0.517349,10.603427,27
133,16319,16488,652.76,659.52,6.76,0.737852,1.391179,28
134,16489,16571,659.56,662.84,3.28,0.258373,44.217018,32
135,16577,16615,663.08,664.6,1.52,0.366287,19.896626,81
136,16616,16707,664.64,668.28,3.64,0.737164,1.03652,28
137,16708,16762,668.32,670.48,2.16,0.578973,19.526874,76
138,16763,16866,670.52,674.64,4.12,0.593955,44.947865,10
139,16867,16979,674.68,679.16,4.48,0.321507,50.032159,30
140,16985,17132,679.4,685.28,5.88,0.712085,3.310663,27
141,17133,17170,685.32,686.8,1.48,0.140387,85.351808,30
142,17171,17223,686.84,688.92,2.08,0.63642,38.671648,8
143,17224,17285,688.96,691.4,2.44,0.351755,28.599015,14
144,17291,17325,691.64,693.0,1.36,0.267822,9.196669,6
145,17326,17554,693.04,702.16,9.12,0.69997,1.213101,28
146,17555,17590,702.2,703.6,1.4,0.089994,26.276158,31
147,17591,17631,703.64,705.24,1.6,0.697869,14.819111,8
148,17637,17670,705.48,706.8,1.32,0.197132,5.581113,20
149,17671,17858,706.84,714.32,7.48,0.701496,1.314526,28
150,17859,17979,714.36,719.16,4.8,0.364227,86.388062,1
151,17980,18015,719.2,720.6,1.4,0.28367,29.690064,20
152,18021,18066,720.84,722.64,1.8,0.222407,13.947991,87
153,18067,18259,722.68,730.36,7.68,0.687562,0.992655,28
154,18260,18292,730.4,731.68,1.28,0.151926,56.434995,31
155,18293,18371,731.72,734.84,3.12,0.079885,25.308167,87
156,18372,18414,734.88,736.56,1.68,0.280937,12.628752,29
157,18420,18699,736.8,747.96,11.16,0.733872,1.091527,27
158,18700,18802,748.0,752.08,4.08,0.338842,48.33903,9
159,18803,18925,752.12,757.0,4.88,0.325535,73.358634,3
160,18931,18958,757.24,758.32,1.08,0.351917,15.690151,86
161,18959,19091,758.36,763.64,5.28,0.679046,2.151726,29
162,19092,19126,763.68,765.04,1.36,0.377659,45.271418,9
163,19127,19231,765.08,769.24,4.16,0.142031,46.16692,85
164,19237,19546,769.48,781.84,12.36,0.735301,1.639615,28
165,19547,19591,781.88,783.64,1.76,0.150437,29.330971,84
166,19592,19619,783.68,784.76,1.08,0.560695,22.969973,31
167,19625,19741,785.0,789.64,4.64,0.689911,1.291347,27
168,19742,19828,789.68,793.12,3.44,0.199978,52.054879,31
169,19829,19871,793.16,794.84,1.68,0.564436,31.635296,6
170,19877,19921,795.08,796.84,1.76,0.560564,13.632221,80
171,19922,20193,796.88,807.72,10.84,0.676027,1.666767,27
172,20203,20273,808.12,810.92,2.8,0.159527,83.310433,28
173,20279,20453,811.16,818.12,6.96,0.685624,0.945179,27
174,20477,20484,819.08,819.36,0.28,0.457524,94.733329,6
175,20485,20567,819.4,822.68,3.28,0.416961,38.104183,85
176,20568,20637,822.72,825.48,2.76,0.428627,25.089148,6
177,20638,20689,825.52,827.56,2.04,0.33247,58.238999,30
178,20695,20997,827.8,839.88,12.08,0.693143,1.045959,27
179,20998,21023,839.92,840.92,1.0,0.547035,88.252805,9
180,21024,21112,840.96,844.48,3.52,0.38778,40.145253,9
181,21113,21173,844.52,846.92,2.4,0.231022,40.052927,28
182,21174,21242,846.96,849.68,2.72,0.461819,36.727369,10
183,21248,21343,849.92,853.72,3.8,0.73381,0.850158,25
184,21344,21398,853.76,855.92,2.16,0.185372,38.37633,26
185,21399,21552,855.96,862.08,6.12,0.447642,16.944524,73
186,21553,21623,862.12,864.92,2.8,0.65173,11.25465,58
187,21656,21673,866.24,866.92,0.68,0.497173,75.376985,6
188,21674,22007,866.96,880.28,13.32,0.439324,44.17558,6
189,22008,22129,880.32,885.16,4.84,0.318516,47.055748,8
190,22130,22193,885.2,887.72,2.52,0.804557,33.327205,6
191,22194,22266,887.76,890.64,2.88,0.107495,41.963623,76
192,22267,22613,890.68,904.52,13.84,0.576918,31.430991,27
193,22614,22720,904.56,908.8,4.24,0.831274,19.01448,6
194,22721,22853,908.84,914.12,5.28,0.468229,43.907445,6
195,22854,23098,914.16,923.92,9.76,0.255834,35.613372,27
0,0,406,0.0,16.24,16.24,0.551241,9.183805,29
1,412,444,16.48,17.76,1.28,0.095446,22.331348,12
2,445,781,17.8,31.24,13.44,0.729741,1.303992,26
3,782,830,31.28,33.2,1.92,0.365135,38.230227,26
4,836,849,33.44,33.96,0.52,0.18225,6.149873,30
5,850,1152,34.0,46.08,12.08,0.643923,1.856116,32
6,1153,1201,46.12,48.04,1.92,0.140446,88.490955,29
7,1202,1234,48.08,49.36,1.28,0.300831,10.412139,12
8,1240,1271,49.6,50.84,1.24,0.207161,3.933093,24
9,1272,1521,50.88,60.84,9.96,0.731146,1.637806,27
10,1522,1542,60.88,61.68,0.8,0.207684,15.653679,8
11,1543,1601,61.72,64.04,2.32,0.549153,38.154438,27
12,1607,1637,64.28,65.48,1.2,0.047391,11.074277,17
13,1638,1804,65.52,72.16,6.64,0.726394,1.732203,27
14,1805,1832,72.2,73.28,1.08,0.138421,64.19318,27
15,1838,1859,73.52,74.36,0.84,0.14583,29.781206,8
16,1860,2065,74.4,82.6,8.2,0.696662,1.889891,29
17,2066,2125,82.64,85.0,2.36,0.047756,16.033566,8
18,2126,2168,85.04,86.72,1.68,0.2997,41.15741,6
19,2169,2209,86.76,88.36,1.6,0.519259,20.122602,6
20,2210,2271,88.4,90.84,2.44,0.069813,37.073196,10
21,2277,2690,91.08,107.6,16.52,0.566971,1.896958,36
22,2691,2734,107.64,109.36,1.72,0.126303,68.891865,36
23,2735,2827,109.4,113.08,3.68,0.121106,60.480557,113
24,2833,2866,113.32,114.64,1.32,0.682874,10.04173,86
25,2867,3123,114.68,124.92,10.24,0.5729,1.151744,36
26,3124,3179,124.96,127.16,2.2,0.137701,83.105597,35
27,3185,3219,127.4,128.76,1.36,0.084699,4.402758,93
28,3220,3545,128.8,141.8,13.0,0.597591,1.228966,34
29,3546,3603,141.84,144.12,2.28,0.18219,87.121229,33
30,3604,3627,144.16,145.08,0.92,0.173873,26.67994,33
31,3633,4280,145.32,171.2,25.88,0.589201,1.363471,35
32,4281,4323,171.24,172.92,1.68,0.193536,22.388827,34
33,4324,4436,172.96,177.44,4.48,0.52842,35.493212,33
34,4442,4577,177.68,183.08,5.4,0.65855,1.302112,31
35,4578,4623,183.12,184.92,1.8,0.115711,61.161489,35
36,4629,4766,185.16,190.64,5.48,0.748049,1.451833,26
37,4767,4854,190.68,194.16,3.48,0.05263,18.082676,9
38,4855,4919,194.2,196.76,2.56,0.302282,18.315751,6
39,4925,4955,197.0,198.2,1.2,0.156252,1.60437,24
40,4956,5406,198.24,216.24,18.0,0.739154,2.993053,27
41,5407,5524,216.28,220.96,4.68,0.07493,17.471527,8
42,5525,5570,221.0,222.8,1.8,0.144559,49.987611,27
43,5571,5612,222.84,224.48,1.64,0.485358,25.909514,10
44,5613,5668,224.52,226.72,2.2,0.228933,25.559324,6
45,5669,5733,226.76,229.32,2.56,0.299447,54.893308,25
46,5734,5789,229.36,231.56,2.2,0.176653,38.911838,10
47,5795,5828,231.8,233.12,1.32,0.139097,30.879036,11
48,5829,6041,233.16,241.64,8.48,0.704042,1.307766,30
49,6042,6124,241.68,244.96,3.28,0.182485,14.868646,29
50,6125,6188,245.0,247.52,2.52,0.689014,34.977978,28
51,6194,6234,247.76,249.36,1.6,0.144897,21.844889,12
52,6235,6449,249.4,257.96,8.56,0.724379,1.540129,29
53,6450,6479,258.0,259.16,1.16,0.496029,62.136322,27
54,6480,6564,259.2,262.56,3.36,0.048428,26.802354,8
55,6570,6780,262.8,271.2,8.4,0.733032,1.149089,28
56,6781,6826,271.24,273.04,1.8,0.225243,19.884356,29
57,6832,6995,273.28,279.8,6.52,0.600624,1.13087,36
58,6996,7063,279.84,282.52,2.68,0.132865,31.870688,108
59,7064,7133,282.56,285.32,2.76,0.301971,48.960696,179
60,7139,7200,285.56,288.0,2.44,0.212592,6.779636,26
61,7201,7875,288.04,315.0,26.96,0.756717,1.815896,27
62,7876,7921,315.04,316.84,1.8,0.155135,32.430239,23
63,7922,7983,316.88,319.32,2.44,0.646519,33.940107,30
64,7989,8056,319.56,322.24,2.68,0.319891,7.038131,31
65,8057,8215,322.28,328.6,6.32,0.644598,2.207471,31
66,8220,8244,328.8,329.76,0.96,0.165303,91.200116,36
67,8245,8300,329.8,332.0,2.2,0.52387,22.677782,93
68,8306,8359,332.24,334.36,2.12,0.434513,30.414708,27
69,8360,8730,334.4,349.2,14.8,0.716021,2.054127,28
70,8731,8761,349.24,350.44,1.2,0.246058,22.777561,26
71,8762,8783,350.48,351.32,0.84,0.342529,53.037458,27
72,8786,8803,351.44,352.12,0.68,0.215841,87.011098,71
73,8824,9076,352.96,363.04,10.08,0.703728,1.370847,29
74,9077,9149,363.08,365.96,2.88,0.229856,39.694268,27
75,9155,9218,366.2,368.72,2.52,0.703561,19.596484,59
76,9219,9397,368.76,375.88,7.12,0.714277,2.483118,29
77,9398,9525,375.92,381.0,5.08,0.491064,28.742814,62
78,9531,9895,381.24,395.8,14.56,0.694043,3.393427,25
79,9896,9950,395.84,398.0,2.16,0.307462,25.972848,27
80,9951,9992,398.04,399.68,1.64,0.328249,32.292795,8
81,9998,10019,399.92,400.76,0.84,0.268997,5.632306,29
82,10020,10208,400.8,408.32,7.52,0.640983,2.322197,27
83,10209,10306,408.36,412.24,3.88,0.152283,18.009834,22
84,10312,10642,412.48,425.68,13.2,0.613285,3.930901,28
85,10643,10804,425.72,432.16,6.44,0.119657,24.742966,115
86,10805,10874,432.2,434.96,2.76,0.401695,41.464463,8
87,10875,10933,435.0,437.32,2.32,0.189395,12.902995,27
88,10934,10993,437.36,439.72,2.36,0.452157,41.775309,11
89,10994,11076,439.76,443.04,3.28,0.322083,14.003824,39
90,11082,11510,443.28,460.4,17.12,0.552737,1.061321,28
91,11511,11607,460.44,464.28,3.84,0.158761,14.631548,27
92,11613,11943,464.52,477.72,13.2,0.667635,1.027885,30
93,11944,12010,477.76,480.4,2.64,0.123154,29.604017,30
94,12016,12268,480.64,490.72,10.08,0.627062,2.182703,36
95,12269,12301,490.76,492.04,1.28,0.269689,33.373128,28
96,12302,12346,492.08,493.84,1.76,0.150649,51.140114,31
97,12347,12409,493.88,496.36,2.48,0.618047,24.55827,15
98,12410,12452,496.4,498.08,1.68,0.486374,21.872018,6
99,12453,12621,498.12,504.84,6.72,0.457411,24.060602,63
100,12626,12786,505.04,511.44,6.4,0.68505,41.17771,26
101,12792,13148,511.68,525.92,14.24,0.609184,1.124679,37
102,13149,13201,525.96,528.04,2.08,0.179554,47.801252,31
103,13207,13465,528.28,538.6,10.32,0.620742,0.927925,35
104,13466,13710,538.64,548.4,9.76,0.203295,45.750499,36
105,13716,13742,548.64,549.68,1.04,0.138901,4.08922,35
106,13743,14100,549.72,564.0,14.28,0.682466,0.974729,33
107,14101,14151,564.04,566.04,2.0,0.125502,35.122445,34
108,14152,14203,566.08,568.12,2.04,0.782021,31.253954,10
109,14204,14253,568.16,570.12,1.96,0.129519,43.91664,28
110,14254,14316,570.16,572.64,2.48,0.667512,29.899144,12
111,14322,14367,572.88,574.68,1.8,0.076556,19.43372,11
112,14368,14647,574.72,585.88,11.16,0.649775,1.59244,34
113,14648,14679,585.92,587.16,1.24,0.224879,16.467594,86
114,14680,14735,587.2,589.4,2.2,0.712501,32.246039,27
115,14741,14808,589.64,592.32,2.68,0.369739,18.444664,34
116,14809,14924,592.36,596.96,4.6,0.668174,2.936833,33
117,14925,14982,597.0,599.28,2.28,0.333553,50.738864,28
118,14988,15037,599.52,601.48,1.96,0.425916,24.397643,80
119,15038,15248,601.52,609.92,8.4,0.666009,1.116938,33
120,15249,15278,609.96,611.12,1.16,0.48762,10.667959,61
121,15279,15333,611.16,613.32,2.16,0.300243,20.88583,86
122,15334,15404,613.36,616.16,2.8,0.395271,23.739834,59
123,15410,15443,616.4,617.72,1.32,0.122359,22.741974,6
124,15444,15654,617.76,626.16,8.4,0.661908,5.326051,33
125,15655,15703,626.2,628.12,1.92,0.223298,23.86281,36
126,15704,15738,628.16,629.52,1.36,0.431494,34.485079,34
127,15744,15835,629.76,633.4,3.64,0.685012,1.025596,31
128,15836,15895,633.44,635.8,2.36,0.094739,40.284803,34
129,15896,16016,635.84,640.64,4.8,0.484817,29.814112,8
130,16017,16081,640.68,643.24,2.56,0.166236,51.431462,28
131,16082,16261,643.28,650.44,7.16,0.060584,27.530688,76
132,16267,16318,650.68,652.72,2.04,0.517349,10.603427,27
133,16319,16488,652.76,659.52,6.76,0.737852,1.391179,28
134,16489,16571,659.56,662.84,3.28,0.258373,44.217018,32
135,16577,16615,663.08,664.6,1.52,0.366287,19.896626,81
136,16616,16707,664.64,668.28,3.64,0.737164,1.03652,28
137,16708,16762,668.32,670.48,2.16,0.578973,19.526874,76
138,16763,16866,670.52,674.64,4.12,0.593955,44.947865,10
139,16867,16979,674.68,679.16,4.48,0.321507,50.032159,30
140,16985,17132,679.4,685.28,5.88,0.712085,3.310663,27
141,17133,17170,685.32,686.8,1.48,0.140387,85.351808,30
142,17171,17223,686.84,688.92,2.08,0.63642,38.671648,8
143,17224,17285,688.96,691.4,2.44,0.351755,28.599015,14
144,17291,17325,691.64,693.0,1.36,0.267822,9.196669,6
145,17326,17554,693.04,702.16,9.12,0.69997,1.213101,28
146,17555,17590,702.2,703.6,1.4,0.089994,26.276158,31
147,17591,17631,703.64,705.24,1.6,0.697869,14.819111,8
148,17637,17670,705.48,706.8,1.32,0.197132,5.581113,20
149,17671,17858,706.84,714.32,7.48,0.701496,1.314526,28
150,17859,17979,714.36,719.16,4.8,0.364227,86.388062,1
151,17980,18015,719.2,720.6,1.4,0.28367,29.690064,20
152,18021,18066,720.84,722.64,1.8,0.222407,13.947991,87
153,18067,18259,722.68,730.36,7.68,0.687562,0.992655,28
154,18260,18292,730.4,731.68,1.28,0.151926,56.434995,31
155,18293,18371,731.72,734.84,3.12,0.079885,25.308167,87
156,18372,18414,734.88,736.56,1.68,0.280937,12.628752,29
157,18420,18699,736.8,747.96,11.16,0.733872,1.091527,27
158,18700,18802,748.0,752.08,4.08,0.338842,48.33903,9
159,18803,18925,752.12,757.0,4.88,0.325535,73.358634,3
160,18931,18958,757.24,758.32,1.08,0.351917,15.690151,86
161,18959,19091,758.36,763.64,5.28,0.679046,2.151726,29
162,19092,19126,763.68,765.04,1.36,0.377659,45.271418,9
163,19127,19231,765.08,769.24,4.16,0.142031,46.16692,85
164,19237,19546,769.48,781.84,12.36,0.735301,1.639615,28
165,19547,19591,781.88,783.64,1.76,0.150437,29.330971,84
166,19592,19619,783.68,784.76,1.08,0.560695,22.969973,31
167,19625,19741,785.0,789.64,4.64,0.689911,1.291347,27
168,19742,19828,789.68,793.12,3.44,0.199978,52.054879,31
169,19829,19871,793.16,794.84,1.68,0.564436,31.635296,6
170,19877,19921,795.08,796.84,1.76,0.560564,13.632221,80
171,19922,20193,796.88,807.72,10.84,0.676027,1.666767,27
172,20203,20273,808.12,810.92,2.8,0.159527,83.310433,28
173,20279,20453,811.16,818.12,6.96,0.685624,0.945179,27
174,20477,20484,819.08,819.36,0.28,0.457524,94.733329,6
175,20485,20567,819.4,822.68,3.28,0.416961,38.104183,85
176,20568,20637,822.72,825.48,2.76,0.428627,25.089148,6
177,20638,20689,825.52,827.56,2.04,0.33247,58.238999,30
178,20695,20997,827.8,839.88,12.08,0.693143,1.045959,27
179,20998,21023,839.92,840.92,1.0,0.547035,88.252805,9
180,21024,21112,840.96,844.48,3.52,0.38778,40.145253,9
181,21113,21173,844.52,846.92,2.4,0.231022,40.052927,28
182,21174,21242,846.96,849.68,2.72,0.461819,36.727369,10
183,21248,21343,849.92,853.72,3.8,0.73381,0.850158,25
184,21344,21398,853.76,855.92,2.16,0.185372,38.37633,26
185,21399,21552,855.96,862.08,6.12,0.447642,16.944524,73
186,21553,21623,862.12,864.92,2.8,0.65173,11.25465,58
187,21656,21673,866.24,866.92,0.68,0.497173,75.376985,6
188,21674,22007,866.96,880.28,13.32,0.439324,44.17558,6
189,22008,22129,880.32,885.16,4.84,0.318516,47.055748,8
190,22130,22193,885.2,887.72,2.52,0.804557,33.327205,6
191,22194,22266,887.76,890.64,2.88,0.107495,41.963623,76
192,22267,22613,890.68,904.52,13.84,0.576918,31.430991,27
193,22614,22720,904.56,908.8,4.24,0.831274,19.01448,6
194,22721,22853,908.84,914.12,5.28,0.468229,43.907445,6
195,22854,23098,914.16,923.92,9.76,0.255834,35.613372,27
